"id","name"
"1428","Beakers 50 mL"
"1429","Beakers 50 mL"
"1430","Beakers 50 mL"
"1431","Beakers 50 mL"
"1432","Beakers 50 mL"
"1433","Beakers 50 mL"
"1434","Beakers 50 mL"
"1435","Disolventes orgánicos no hablogenados"
"1436","Disolventes orgánicos no hablogenados"
"1438","Beakers 250 mL"
"1440","Beakers 100 mL"
"1457","Beakers 50 mL"
"1458","Beakers 50 mL"
"1459","Beakers 50 mL"
"1460","Beakers 50 mL"
"1461","Hidróxido de sodio técnico (polvo)"
"1462","Hidróxido de sodio técnico (polvo)"
"1463","Beakers 50 mL"
"1464","Beakers 50 mL"
"1465","Beakers 50 mL"
"1466","Beakers 50 mL"
"1467","Beakers 50 mL"
"1468","Beakers 50 mL"
"1469","Beakers 100 mL"
"1470","Beakers 100 mL"
"1471","Beakers 50 mL"
"1472","Cloruro de sodio"
"1473","Cloruro de calcio dihidratado"
"1474","Cloruro de hierro (III)"
"1475","Hidróxido de sodio"
"1476","Sulfato de sodio anhidro"
"1477","Beakers 50 mL"
"1478","Tubo de ensayo de 13*75 mm"
"1479","Álcalis y sales inorgánicas"
"1480","Cloruro de sodio"
"1481","Álcalis y sales inorgánicas"
"1483","Ácidos y sales inorgánicos"
"1485","Beakers 50 mL"
"1486","Ácido salicílico"
"1487","Permanganato de potasio"
"1488","Ácidos y sales inorgánicos"
"1489","Cloruro de zinc"
"1490","Yoduro de potasio"
"1495","Disolventes orgánicos no hablogenados"
"1496","Disolventes orgánicos no hablogenados"
"1497","Disolventes orgánicos no hablogenados"
"1498","Disolventes orgánicos no halogenados"
"1499","Beakers 400 mL"
"1500","Disolventes orgánicos no halogenados"
"1503","Disolventes orgánicos no hablogenados"
"1504","Beakers 50 mL"
"1505","Nitrito de sodio"
"1506","Beakers 50 mL"
"1507","Ácido sulfámico"
"1508","Ácido sulfámico"
"1509","Ácidos y sales inorgánicos"
"1510","Ácidos y sales inorgánicos"
"1511","Ácidos y sales inorgánicos"
"1512","Nitrito de sodio"
"1513","Ácidos y sales inorgánicos"
"1514","Beakers 150 mL"
"1515","Beakers 150 mL"
"1516","Beakers 150 mL"
"1521","Ácido sulfúrico"
"1522","Ácidos y sales inorgánicos"
"1523","Ácidos y sales inorgánicos"
"1524","Ácidos y sales inorgánicos"
"1527","Tubo de ensayo de 13*75 mm"
"1528","Tubo de ensayo de 13*75 mm"
"1529","Tubo de ensayo de 13*75 mm"
"1530","Tubo de ensayo de 13*75 mm"
"1534","Ácidos y sales inorgánicos"
"1535","Ácidos y sales inorgánicos"
"1536","Ácidos y sales inorgánicos"
"1537","Ácidos y sales inorgánicos"
"1539","Tubo de ensayo de 13*75 mm"
"1542","Ácidos, sales y peróxidos orgánicos"
"1543","Ácidos y sales inorgánicos"
"1544","Yoduro de potasio"
"1545","Hidróxido de sodio"
"1546","Álcalis y sales inorgánicas"
"1547","Ácido clorhídrico Fumante"
"1548","Ácidos y sales inorgánicos"
"1551","Ácidos y sales inorgánicos"
"1553","Ácidos y sales inorgánicos"
"1554","Ácidos y sales inorgánicas"
"1556","Acido sulfurico"
"1557","Ácidos y sales inorgánicos"
"1558","Cloruro de Amonio"
"1559","Álcalis y sales inorgánicas"
"1560","Álcalis y sales inorgánicas"
"1561","Tubo de ensayo de 13*75 mm"
"1562","Ácidos y sales inorgánicos"
"1563","Ácidos y sales inorgánicos"
"1564","Álcalis y sales inorgánicas"
"1565","Álcalis y sales inorgánicas"
"1566","Álcalis y sales inorgánicas"
"1567","Álcalis y sales inorgánicas"
"1569","Ácidos y sales inorgánicos"
"1570","Álcalis y sales inorgánicas"
"1572","Ácidos y sales inorgánicos"
"1573","Bicarbonato de sodio"
"1574","Ácido acetilsalicílico"
"1575","Ácido acetilsalicílico"
"1576","Ácidos y sales inorgánicas"
"1577","Beakers 100 mL"
"1578","Ácidos y sales inorgánicas"
"1579","Ácidos y sales inorgánicos"
"1580","Ácidos y sales inorgánicos"
"1584","Rojo congo"
"1585","Ácidos y sales inorgánicas"
"1586","Disolventes orgánicos no halogenados"
"1587","Beakers 50 mL"
"1588","Beakers 250 mL"
"1589","Tubo de ensayo de 13*75 mm"
"1590","Disolventes orgánicos no hablogenados"
"1591","Tubo de ensayo de 13*75 mm"
"1592","Gradillas  de plástico"
"1593","Ácidos, sales y peróxidos orgánicos"
"1594","Ácidos, sales y peróxidos orgánicos"
"1595","Ácidos, sales y peróxidos orgánicos"
"1596","Ácidos y sales inorgánicos"
"1597","Ácidos y sales inorgánicos"
"1598","Ácidos y sales inorgánicos"
"1599","Ácidos y sales inorgánicos"
"1600","Ácidos y sales inorgánicos"
"1601","Ácidos y sales inorgánicos"
"1602","Ácidos y sales inorgánicos"
"1603","Ácidos y sales inorgánicos"
"1604","Ácidos y sales inorgánicos"
"1605","Ácidos y sales inorgánicos"
"1606","Ácidos y sales inorgánicas"
"1607","Ácidos y sales inorgánicos"
"1608","Ácidos y sales inorgánicos"
"1609","Ácidos y sales inorgánicos"
"1610","Ácidos y sales inorgánicos"
"1611","Ácidos y sales inorgánicos"
"1612","Ácidos y sales inorgánicos"
"1613","Ácidos y sales inorgánicos"
"1614","Ácidos y sales inorgánicos"
"1615","Ácidos y sales inorgánicos"
"1616","Ácidos y sales inorgánicos"
"1617","Ácidos y sales inorgánicos"
"1618","Ácidos y sales inorgánicos"
"1619","Ácidos y sales inorgánicos"
"1620","Ácidos y sales inorgánicos"
"1621","Ácidos y sales inorgánicos"
"1622","Ácidos y sales inorgánicos"
"1623","Ácidos y sales inorgánicos"
"1624","Ácidos y sales inorgánicos"
"1625","Ácidos y sales inorgánicos"
"1626","Ácidos y sales inorgánicos"
"1629","Ácidos y sales inorgánicos"
"1630","Ácidos y sales inorgánicos"
"1631","Ácidos y sales inorgánicos"
"1632","Ácidos y sales inorgánicos"
"1633","Ácidos y sales inorgánicos"
"1634","Ácidos y sales inorgánicos"
"1635","Ácidos y sales inorgánicos"
"1636","Ácidos y sales inorgánicos"
"1637","Ácidos y sales inorgánicos"
"1639","Bomba calorimétrica"
"1640","Bomba calorimétrica"
"1643","Hidróxido de amonio 25 %"
"1644","Ácidos y sales inorgánicos"
"1645","Ácidos y sales inorgánicos"
"1650","Hidróxido de sodio técnico (polvo)"
"1651","Ácidos y sales inorgánicas"
"1652","Ácidos y sales inorgánicos"
"1653","Ácidos y sales inorgánicos"
"1655","Álcalis y sales inorgánicas"
"1656","Beakers 250 mL"
"1657","Álcalis y sales inorgánicas"
"1661","Disolventes orgánicos no halogenados"
"1662","Disolventes orgánicos no hablogenados"
"1663","Beakers 600 mL"
"1664","Álcalis y sales inorgánicas"
"1665","Álcalis y sales inorgánicas"
"1666","Álcalis y sales inorgánicas"
"1667","Álcalis y sales inorgánicas"
"1668","Disolventes orgánicos no hablogenados"
"1669","Beakers 50 mL"
"1670","Beakers 50 mL"
"1671","Beakers 50 mL"
"1672","Ácidos y sales inorgánicos"
"1683","Álcalis y sales inorgánicas"
"1684","Beakers 100 mL"
"1685","Álcalis y sales inorgánicas"
"1686","Álcalis y sales inorgánicas"
"1687","Álcalis y sales inorgánicas"
"1688","Álcalis y sales inorgánicas"
"1689","Álcalis y sales inorgánicas"
"1690","Álcalis y sales inorgánicas"
"1691","Álcalis y sales inorgánicas"
"1692","Beakers 100 mL"
"1693","Beakers 100 mL"
"1694","Beakers 100 mL"
"1699","Recipiente para reactivos acidos"
"1701","Botella vidrio para acido formico"
"1716","Recipiente residuos N3 (Disolventes orgánicos no halogenados)"
"1717","Disolventes Organicos no halogenados"
"1719","Recipiente residuos N4 (Acidos, sales y peroxidos organicos)"
"1720","Ácidos, sales y peróxidos orgánicos"
"1722","Recipiente residuos N5 (Acidos, sales inorganicas)"
"1723","Ácido y sales inorgánicas"
"1726","Recipiente residuos N6 (Álcalis y sales inorganicas)"
"1727","Álcalis y sales inorgánicas"
"1730","Beakers 250 mL"
"1731","Cloruro de cobalto (II) hexahidratado"
"1732","Beakers 600 mL"
"1733","Hidróxido de sodio"
